time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-02T00:57:31.552Z,60.7101,-151.5702,60,1.7,ml,,,,0.44,ak,ak0198enosl6,2019-07-02T01:05:54.448Z,"15km W of Nikiski, Alaska",earthquake,,0.9,,,automatic,ak,ak
2019-07-02T00:53:51.650Z,34.0508333,-117.5163333,3.25,0.88,ml,24,82,0.05464,0.27,ci,ci38439831,2019-07-02T00:57:37.107Z,"5km NNW of Glen Avon, CA",earthquake,0.52,0.77,0.095,25,automatic,ci,ci
2019-07-02T00:47:36.530Z,-17.9667,-178.3443,623.47,4.3,mb,,122,3.438,0.67,us,us700048h3,2019-07-02T01:06:49.040Z,"296km SE of Lambasa, Fiji",earthquake,15.8,10.3,0.102,27,reviewed,us,us
2019-07-02T00:13:50.276Z,29.4917,51.4783,10,4.1,mb,,71,6.18,0.68,us,us700048gw,2019-07-02T00:57:13.040Z,"22km SW of Kazerun, Iran",earthquake,9.1,1.9,0.088,35,reviewed,us,us
2019-07-02T00:12:36.690Z,38.8353348,-122.8024979,2.2,1.41,md,30,38,,0.04,nc,nc73204541,2019-07-02T02:59:04.230Z,"7km WNW of Cobb, CA",earthquake,0.19,0.35,0.14,7,automatic,nc,nc
2019-07-02T00:09:33.329Z,66.1554,-157.1125,12.4,1.8,ml,,,,1.31,ak,ak0198eneidw,2019-07-02T00:13:50.640Z,"84km S of Kobuk, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-07-02T00:09:09.936Z,66.2742,-157.3789,4.7,1.6,ml,,,,1.24,ak,ak0198enegkp,2019-07-02T00:15:31.410Z,"73km SSW of Kobuk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-07-02T00:07:35.400Z,33.8631668,-118.0733337,8.63,1.76,ml,23,217,0.1462,0.16,ci,ci38439791,2019-07-02T00:11:17.412Z,"1km NW of Cerritos, CA",earthquake,1.31,2.04,0.838,5,automatic,ci,ci
2019-07-02T00:06:35.573Z,33.7023,137.2224,354.61,4.3,mb,,30,1.257,0.56,us,us700048gr,2019-07-02T00:34:08.040Z,"93km SSE of Toba, Japan",earthquake,8.4,6.4,0.029,349,reviewed,us,us
2019-07-01T23:54:19.147Z,4.6734,94.4328,34.24,4.4,mb,,166,2.565,0.49,us,us700048gp,2019-07-02T00:12:09.040Z,"138km SW of Banda Aceh, Indonesia",earthquake,7.8,7.1,0.114,22,reviewed,us,us
2019-07-01T23:45:56.440Z,18.1661,-66.8785,15,2.04,md,18,69,0.191,0.21,pr,pr2019182013,2019-07-02T00:53:53.432Z,"8km W of Adjuntas, Puerto Rico",earthquake,0.41,0.7,0.34,16,reviewed,pr,pr
2019-07-01T23:40:17.630Z,33.5993333,-116.8053333,4.81,0.61,ml,16,82,0.03487,0.11,ci,ci38439751,2019-07-01T23:43:54.792Z,"13km WNW of Anza, CA",earthquake,0.33,0.51,0.15,10,automatic,ci,ci
2019-07-01T23:39:19.890Z,18.8215,-65.8393,8,2.79,md,13,298,0.5677,0.43,pr,pr2019182014,2019-07-02T03:18:34.171Z,"43km N of Vieques, Puerto Rico",earthquake,1.63,1.64,0.32,13,reviewed,pr,pr
2019-07-01T23:36:38.271Z,-20.6097,-173.4869,10,4.9,mb,,114,3.681,1.37,us,us700048gv,2019-07-02T01:23:09.040Z,"127km SE of Pangai, Tonga",earthquake,8.8,1.9,0.097,33,reviewed,us,us
2019-07-01T23:23:20.120Z,36.0033333,-120.563,3.29,0.41,md,11,100,0.02224,0.05,nc,nc73204531,2019-07-02T01:48:47.809Z,"17km NW of Parkfield, CA",earthquake,0.4,0.95,0.165,5,reviewed,nc,nc
2019-07-01T23:22:51.420Z,35.0478333,-117.659,0.28,1.7,ml,19,75,0.1172,0.2,ci,ci38439743,2019-07-01T23:26:58.182Z,"6km N of Boron, CA",quarry blast,0.58,31.61,0.15,30,automatic,ci,ci
